               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057758,            0.017046,            0.012349,             0.67371,             0.90489,             0.81193,             0.35007,            0.033097,           0.0070204,           0.0019666,            0.070108,           0.0033213,           0.0033213
                   1,            0.038251,           0.0092381,           0.0021282,             0.97346,             0.98494,             0.99114,             0.52604,            0.028196,           0.0049839,           0.0010835,            0.040042,           0.0065888,           0.0065888
                   2,            0.031669,           0.0067792,           0.0013728,             0.96917,             0.99592,             0.98789,             0.66914,            0.023373,           0.0050099,          0.00058397,           0.0099102,           0.0097902,           0.0097902
                   3,            0.025958,           0.0059031,          0.00083723,             0.99553,             0.99782,             0.99469,             0.77016,            0.019528,           0.0043955,          0.00037034,            0.009703,            0.009703,            0.009703
                   4,            0.022991,           0.0055039,          0.00056611,             0.99193,             0.99801,             0.99468,             0.77405,             0.01885,           0.0042409,          0.00039775,            0.009703,            0.009703,            0.009703
                   5,            0.021504,           0.0053738,           0.0004499,             0.98642,             0.98541,             0.99414,             0.76366,            0.018681,           0.0043113,          0.00083422,            0.009604,            0.009604,            0.009604
                   6,            0.021006,            0.005269,          0.00036716,               0.999,             0.99932,             0.99476,             0.80118,             0.01761,           0.0040834,          0.00019762,            0.009505,            0.009505,            0.009505
                   7,            0.020475,           0.0052519,          0.00035211,             0.99627,             0.99632,             0.99494,              0.7996,            0.017708,           0.0040495,          0.00019053,            0.009406,            0.009406,            0.009406
                   8,            0.020115,            0.005099,          0.00032366,             0.99709,             0.99658,               0.995,             0.79582,            0.017818,           0.0040752,          0.00015473,            0.009307,            0.009307,            0.009307
                   9,            0.019779,           0.0050494,          0.00028055,             0.99891,             0.99782,             0.99493,               0.804,            0.017341,           0.0039876,          0.00014658,            0.009208,            0.009208,            0.009208
                  10,            0.019696,           0.0050734,           0.0002577,             0.99714,             0.99782,               0.995,              0.8084,            0.017618,           0.0039994,           0.0001453,            0.009109,            0.009109,            0.009109
